id_bubble_aula; ativo; contar_certificado; id_bubble_curso; curso_visivel; descricao; minutos; id_bubble_modulo; modulo_visivel; ordenacao; publicada_telegram; teste_gratis; video_fonte; video_id; visibilidade

1645565827741x807915417606553600;sim;sim;1645563746652x524055920726507500;sim;PRINCÍPIOS DE LIQUIDAÇÃO DE SENTENÇA;;1645565398369x534991480345067500;sim;0;1;sim;Vímeo;426190937;sim
1645750301410x690623100354560000;sim;sim;1645563746652x524055920726507500;sim;PRINCIPAIS VERBAS TRABALHISTAS;;1645565398369x534991480345067500;sim;4;1;não;Vímeo;426201997;sim
1645751843567x419338921772843000;sim;sim;1645563746652x524055920726507500;sim;ASPECTOS GERAIS DO PJECALC;;1645565398369x534991480345067500;sim;5;;não;Vímeo;472636200;sim
1645976491114x200278965097070600;sim;sim;1645962986798x381889307960410100;sim;TRABALHO AOS DOMINGOS;2;1645963042108x728816035001270300;não;-1;;sim;Vímeo;682467748;sim
1645977141216x109524125682761730;sim;sim;1645962986798x381889307960410100;sim;ANATOCISMO;;1645963042108x728816035001270300;não;1;1;sim;Vímeo;682467958;sim
1645977307418x300602161190666240;sim;sim;1645962986798x381889307960410100;sim;SÁBADO DO BANCÁRIO;;1645963042108x728816035001270300;não;3;2;não;Vímeo;682467194;sim
1645977362627x493130260964966400;sim;sim;1645962986798x381889307960410100;sim;REPOUSO SEMANAL REMUNERADO;;1645963042108x728816035001270300;não;4;1;não;Vímeo;682466984;sim
1645977415776x562103766116204540;sim;sim;1645962986798x381889307960410100;sim;PRESCRIÇÃO;;1645963042108x728816035001270300;não;5;;não;Vímeo;682466211;sim
1645977447261x972126621113253900;sim;sim;1645962986798x381889307960410100;sim;INDENIZAÇÃO DO FGTS;;1645963042108x728816035001270300;não;6;;não;Vímeo;682467480;sim
1645977479264x103763361054326780;sim;sim;1645962986798x381889307960410100;sim;JUROS REGRESSIVOS;;1645963042108x728816035001270300;não;7;;não;Vímeo;682467859;sim
1645977506216x521054340484694000;sim;sim;1645962986798x381889307960410100;sim;JORNADA DO SÁBADO;;1645963042108x728816035001270300;não;8;;não;Vímeo;682466350;sim
1645977535564x531820736132677600;sim;sim;1645962986798x381889307960410100;sim;JORNADA DE TRABALHO;;1645963042108x728816035001270300;não;9;;não;Vímeo;682466488;sim
1645977581759x196997702292340740;sim;sim;1645962986798x381889307960410100;sim;INTERVALO INTRAJORNADA;;1645963042108x728816035001270300;não;10;;não;Vímeo;682467621;sim
1645977630348x385545526662135800;sim;sim;1645962986798x381889307960410100;sim;EMPREGADO HORISTA;;1645963042108x728816035001270300;não;11;;não;Vímeo;682466607;sim
1645977666112x152050012498165760;sim;sim;1645962986798x381889307960410100;sim;EMPREGADO COMISSIONISTA;;1645963042108x728816035001270300;não;12;;não;Vímeo;682466856;sim
1645977695895x796249827307159600;sim;sim;1645962986798x381889307960410100;sim;DEDUÇÃO DE DEPÓSITO RECURSAL;;1645963042108x728816035001270300;não;13;;não;Vímeo;682467093;sim
1645977727003x322370113604943900;sim;sim;1645962986798x381889307960410100;sim;CONTRIBUIÇÃO PREVIDENCIÁRIA SOBRE ACORDO;;1645963042108x728816035001270300;não;14;;não;Vímeo;682466762;sim
1645978010685x828729246710759400;sim;sim;1645962986798x381889307960410100;sim;BIS IN IDEM;;1645963042108x728816035001270300;não;15;;não;Vímeo;682468064;sim
1645978042976x339230509864058900;sim;sim;1645962986798x381889307960410100;sim;BASE DE CÁLCULO NO PJECALC;;1645977947199x729684332208980000;não;13;;não;Vímeo;682468193;sim
1645979005695x936628541574348800;sim;sim;1645962986798x381889307960410100;sim;BASE DE CÁLCULO DE VERBAS RESCISÓRIAS;;1645977947199x729684332208980000;não;16;;não;Vímeo;682468342;sim
