tipo,curso_titulo,curso_descricao,curso_instrutor,curso_duracao_horas,modulo_titulo,modulo_descricao,aula_titulo,aula_descricao,aula_video_provider,aula_video_id,aula_duracao_minutos,aula_ordem,aula_teste_gratis
curso,PJECALCPLUS,Treinamento Completo de Cálculos Trabalhistas usando Pje-Calc,Vicelmo Alencar,60,,,,,,,,,
modulo,,,,,INTRODUÇÃO À LIQUIDAÇÃO DE SENTENÇA E AO PJE-CALC,,,,,,,,
aula,,,,,,,INTRODUÇÃO AO CURSO PJECALC PLUS,,vimeo,684333777,2,1,sim
aula,,,,,,,PRINCÍPIOS DE LIQUIDAÇÃO DE SENTENÇA,,vimeo,426190937,,2,sim
aula,,,,,,,PRINCIPAIS VERBAS TRABALHISTAS,,vimeo,426201997,,3,nao
aula,,,,,,,ASPECTOS GERAIS DO PJECALC,,vimeo,472636200,,4,nao
aula,,,,,,,INSTALAÇÃO DO PJECALC,,vimeo,426322291,"12,5",5,nao
aula,,,,,,,CONHECENDO MENUS E ÍCONES DO PJECALC,,vimeo,426328537,7,6,nao
aula,,,,,,,IMPORTAÇÃO E EXPORTAÇÃO DE CÁLCULOS,,vimeo,426331912,10,7,nao
aula,,,,,,,ATUALIZAÇÃO DE TABELAS E ÍNDICES,,vimeo,426328068,6,8,nao
aula,,,,,,,ENVIANDO CÁLCULO PARA O PJE,,vimeo,507677541,11,9,nao
aula,,,,,,,TRANSPOSIÇÃO DE CÁLCULOS DO PJE-CALC PARA O PJE,,vimeo,555422844,10,10,nao
aula,,,,,,,CRITÉRIOS MATEMÁTICOS,,vimeo,426333258,14,11,nao
aula,,,,,,,JUNÇÃO DE CÁLCULOS,,vimeo,426329354,12,12,nao
aula,,,,,,,CONCEITOS DE BASE DE CÁLCULOS,,vimeo,426330420,13,13,nao
aula,,,,,,,HISTÓRICO SALARIAL,,vimeo,426322888,29,14,nao
aula,,,,,,,CADASTRO DE VERBAS,,vimeo,426323274,13,15,nao
aula,,,,,,,ESTRUTURA DOS CÁLCULOS,,vimeo,426327142,15,16,nao
aula,,,,,,,CONFIGURAÇÕES DE BASES DE CÁLCULOS,,vimeo,426527877,36,17,nao
aula,,,,,,,RESUMO PRÁTICO DO MÓDULO,,vimeo,426323578,16,18,nao
modulo,,,,,VERBAS RESCISÓRIAS - TEORIA E PRÁTICA,,,,,,,,
aula,,,,,,,VERBAS RESCISÓRIAS - AULA 1,,vimeo,426544541,12,1,sim
aula,,,,,,,VERBAS RESCISÓRIAS - AULA 2,,vimeo,426544597,9,2,nao
aula,,,,,,,VERBAS RESCISÓRIAS - AULA 3,,vimeo,426544638,9,3,nao
aula,,,,,,,AVISO PRÉVIO,,vimeo,426544713,16,4,nao
aula,,,,,,,REFLEXOS DE AVISO PRÉVIO,,vimeo,426544773,20,5,nao
aula,,,,,,,DÉCIMO TERCEIRO SALÁRIO,,vimeo,426544886,10,6,nao
aula,,,,,,,FÉRIAS,,vimeo,426544930,10,7,nao
aula,,,,,,,ABONO PECUNIÁRIO DE FÉRIAS,,vimeo,426544986,16,8,nao
aula,,,,,,,VERBAS RESCISÓRIAS PARA INICIANTES,,vimeo,426545061,34,9,nao
