id_bubble_modulo; ativo; contar_certificado; id_bubble_curso; descricao; ordenacao; teste grátis; visibilidade
1645565398369x534991480345067500;sim;sim;1645563746652x524055920726507500;INTRODUÇÃO À LIQUIDAÇÃO DE SENTENÇA E AO PJE-CALC;-53;sim;sim
1645963042108x728816035001270300;sim;;1645962986798x381889307960410100;FEVEREIRO 2022;-8;sim;sim
1645977947199x729684332208980000;sim;;1645962986798x381889307960410100;MARÇO 2022;1;sim;sim
1646005875862x970734438363955200;sim;sim;1645563746652x524055920726507500;VERBAS RESCISÓRIAS - TEORIA E PRÁTICA;-22;sim;sim
1646007262661x780324088437276700;sim;sim;1645563746652x524055920726507500;JORNADA DE TRABALHO - TEORIA E PRÁTICA;-3;sim;sim
1646044299240x277809044952186880;sim;sim;1645563746652x524055920726507500;ATUALIZAÇÃO DE CÁLCULOS E FASE DE EXECUÇÃO;13;sim;sim
1646045035580x288649508145070100;sim;;1646044873658x960675358856183800;APRESENTAÇÃO E ATUALIZAÇÃO;-13;sim;sim
1646045217047x997491178492395500;sim;;1646044873658x960675358856183800;MÓDULO 01 - PARÂMETROS DO CÁLCULO;-9;sim;sim
1646045536101x899729949082255400;sim;;1646044873658x960675358856183800;MÓDULO 02 - FALTAS;-6;sim;sim
1646045563425x880544792677187600;sim;;1646044873658x960675358856183800;MÓDULO 03 - HISTÓRICO SALARIAL;-4;sim;sim
1646045641973x474290946357329900;sim;;1646044873658x960675358856183800;MÓDULO 04 - VERBAS;3;sim;sim
1646046031488x460336221602709500;sim;;1646044873658x960675358856183800;MÓDULO 05 - CARTÃO DE PONTO;5;sim;sim
1646046332576x763184366627061800;sim;;1646044873658x960675358856183800;MÓDULO 06 - PARÂMETROS DAS VERBAS;8;sim;sim
1646046569878x709020053699821600;sim;;1646044873658x960675358856183800;MÓDULO 07 - ATUALIZAÇÃO DOS CÁLCULOS;10;sim;sim
1646046619927x613062215460716500;sim;;1646044873658x960675358856183800;MATERIAL DO CURSO;11;sim;sim
1646047158282x351663223772020740;sim;;1646046992572x566393863573340160;SIMULAÇÃO AVANÇADA NO PJECALC PLUS;1;sim;sim
1646053857682x913501370818494500;sim;não;1645563746652x524055920726507500;DÚVIDAS DOS ALUNOS SOBRE VERBAS RESCISÓRIAS;20;sim;sim
1646053894603x830706057839902700;sim;não;1645563746652x524055920726507500;DÚVIDAS DOS ALUNOS SOBRE JORNADA DE TRABALHO;25;sim;sim
1646053913570x252598972525314050;sim;não;1645563746652x524055920726507500;DÚVIDAS DOS ALUNOS SOBRE ATUALIZAÇÃO DE CÁLCULOS;29;sim;sim
1646053929598x738430622980898800;sim;não;1645563746652x524055920726507500;DÚVIDAS DOS ALUNOS SOBRE LIQUIDAÇÃO DE SENTENÇA;40;sim;sim
1646053947680x875245280905134000;sim;não;1645563746652x524055920726507500;DÚVIDAS DOS ALUNOS SOBRE ASPECTOS GERAIS;44;sim;sim
1646057992086x229557985705459700;sim;;1646057795997x766884242748342300;Curso de Pje-Calc em 2 horas;1;sim;sim
1646058803065x336808344264900600;sim;;1646058447704x678330914695544800;PJE CALC E CÁLCULOS TRABALHISTAS;1;sim;sim
1646059374545x554271389014032400;sim;sim;1646058628599x266617345668546560;Módulo Único;1;sim;sim
1646060023674x622241536412483600;sim;sim;1646058664823x651857855931482100;Teoria geral de cálculos trabalhistas;1;sim;sim
1646060758062x194320081104404480;sim;;1646060584309x343832991073828860;MÓDULO ÚNICO;1;sim;sim
1646061136891x746349682810945500;sim;;1646061070405x561550319529754600;LIQUIDAÇÃO DE SENTENÇA PARA INICIANTES;1;sim;sim
1646076885197x754496411698200600;sim;sim;1646059672654x381831255547707400;MÓDULO I - ASPECTOS INICIAIS;-2;sim;sim
1646076888167x252228500913651700;sim;sim;1646059672654x381831255547707400;MÓDULO II - ASPECTOS PROCESSUAIS;1;sim;sim
1646076892700x487459642826031100;sim;sim;1646059672654x381831255547707400;MÓDULO III - ASPECTOS PRÁTICOS;5;sim;sim
1646330340805x641927594265280500;sim;não;1646330317122x702728900006117400;APRESENTAÇÃO;1;sim;sim
1646494113229x175622362284163070;sim;sim;1646493918439x977488244015890400;VERBAS RESCISÓRIAS E ADICIONAIS;0;sim;sim
1646494795197x985722689503363100;sim;sim;1646493918439x977488244015890400;VERBAS INDENIZATÓRIAS;3;sim;sim
